University,State,pretty name,State Abb,location name,food name,City,Type,Grad Program?,Pop (2020 Decennial Census),undergrad pop,city long,city lat,zip,uni. LONGITUDE,uni. LATITUDE,Monthly food,Appartment Mean,Appartment Min,Appartment Max,Gas,Avg spent on gas = avg miles driven / gas milage * gas cost,Avg gas/ month?,Total Cost,Monthly Cost of living + Yearly Maintencance cost,Min Cost,Max Cost
SUNY College of Technology at Alfred,New York,"Alfred, New York",NY,Alfred New York,Alfred-NY,Alfred,Mix,yes,4896,3400,42.2552,77.7947,14802,-77.795,42.2553,314.6,1068.38,700,1414,3.39,1707.1,142.2583333,1525.238333,2317.238333,1948.858333,2662.858333
Sul Ross State University,Texas,"Alpine, Texas",TX,Alpine Texas,Alpine-TX,Alpine,Regional,yes,6035,1603,-103.665,30.364,79832,-103.65,30.3631,316.16,675,675,675,3.15,1586.24,132.1866667,1123.346667,1915.346667,1915.346667,1915.346667
Iowa State University,Iowa,"Ames, Iowa",IA,Ames Iowa,Ames-IA,Ames,Land grant,yes,66427,25537,-93.6217,42.0256,50011-2103,-93.649,42.0262,316.16,863.67,620,1225,3.24,1631.56,135.9633333,1315.793333,2107.793333,1864.123333,2469.123333
University of Massachusetts-Amherst,Massachusetts,"Amherst, Massachusetts",MA,Amherst Massachusetts,Amherst-MA,Amherst,Mix,yes,39263,23947,42.3868,72.5301,1003,-72.527,42.386,317.6333333,1886.94,1375,2394.5,3.19,1606.38,133.865,2338.438333,3130.438333,2618.498333,3637.998333
University of Michigan-Ann Arbor,Michigan,"Ann Arbor, Michigan",MI,Ann Arbor Michigan,Ann-Arbor-MI,Ann Arbor,Flagship,yes,123851,32063,-83.731,42.2759,48109,-83.743,42.2759,315.0333333,1876.49,1231.5,3567.5,3.45,1737.31,144.7758333,2336.299167,3128.299167,2483.309167,4819.309167
California State Polytechnic University-Humboldt,California,"Arcata, California",CA,Arcata California,Arcata-CA,Arcata,Regional,yes,18857,5336,-124.076,40.8615,95521-8299,-124.08,40.8775,323.1366667,1213.12,885,1550,5.39,2714.23,226.1858333,1762.4425,2554.4425,2226.3225,2891.3225
Henderson State University,Arkansas,"Arkadelphia, Arkansas",AR,Arkadelphia Arkansas,Arkadelphia-AR,Arkadelphia,Mix,yes,10380,2205,-93.0729,34.1253,71999-0001,-93.06,34.1282,318.1533333,715,715,715,2.95,1485.53,123.7941667,1156.9475,1948.9475,1948.9475,1948.9475
Southern Oregon University,Oregon,"Ashland, Oregon",OR,Ashland Oregon,Ashland-OR,Ashland,Regional,yes,21360,3208,-122.699,42.1905,97520,-122.7,42.1851,321.5116667,1575,1050,2100,3.89,1958.88,163.24,2059.751667,2851.751667,2326.751667,3376.751667
University of Georgia,Georgia,"Athens, Georgia",GA,Athens Georgia,Athens-GA,Athens,Flagship,yes,96124,30032,-83.3689,33.9508,30602,-83.374,33.9563,315.9,1450.77,775,2609,3.14,1581.21,131.7675,1898.4375,2690.4375,2014.6675,3848.6675
Ohio University,Ohio,"Athens, Ohio",OH,Athens Ohio,Athens-OH,Athens,Flagship,yes,23849,17899,-82.0987,39.327,45701-2979,-82.101,39.3268,312.0866667,814.38,444,1450,3.35,1686.95,140.5791667,1267.045833,2059.045833,1688.665833,2694.665833
Auburn University,Alabama,"Auburn, Alabama",AL,Auburn Alabama,Auburn-AL,Auburn,Land grant,yes,76143,24782,-85.4903,32.6087,36849,-85.488,32.5994,348.9416667,1266.17,760,3450,2.97,1495.6,124.6333333,1739.745,2531.745,2025.575,4715.575
University of Maine at Augusta,Maine,"Augusta, Maine",ME,Augusta Maine,Augusta-ME,Augusta,Regional,yes,18899,3020,-69.7319,44.3341,04330-9410,-69.796,44.3377,315.9,1058.75,750,1250,3.15,1586.24,132.1866667,1506.836667,2298.836667,1990.086667,2490.086667
Bemidji State University,Minnesota,"Bemidji, Minnesota",MN,Bemidji Minnesota,Bemidji-MN,Bemidji,Regional,yes,14574,3508,-94.8797,47.4828,56601,-94.874,47.4823,321.5333333,913.12,870,945,3.29,1656.74,138.0616667,1372.715,2164.715,2121.595,2196.595
Ferris State University,Michigan,"Big Rapids, Michigan",MI,Big Rapids Michigan,Big-Rapids-MI,Big Rapids,Regional,yes,7727,8810,-85.4806,43.6992,49307-2251,-85.482,43.6877,317.8933333,1299,1299,1299,3.49,1757.45,146.4541667,1763.3475,2555.3475,2555.3475,2555.3475
Binghamton University,New York,"Binghamton, New York",NY,Binghamton New York,Binghamton-NY,Binghamton,Flagship,yes,47969,14303,-75.9093,42.1014,13850-6000,-75.967,42.0879,314.6,1277.69,785,2200,3.09,1556.03,129.6691667,1721.959167,2513.959167,2021.269167,3436.269167
Virginia Polytechnic Institute and State University,Virginia,"Blacksburg, Virginia",VA,Blacksburg Virginia,Blacksburg-VA,Blacksburg,Land grant,yes,44826,29699,-80.4279,37.23,24061-0131,-80.424,37.229,317.2,1247.55,787.5,1740,3.29,1656.74,138.0616667,1702.811667,2494.811667,2034.761667,2987.261667
Indiana University-Bloomington,Indiana,"Bloomington, Indiana",IN,Bloomington Indiana,Bloomington-IN,Bloomington,Flagship,yes,79168,33995,-86.5257,39.1637,47405-7000,-86.527,39.1661,317.2,1203.44,621.5,1762,3.59,1807.81,150.6508333,1671.290833,2463.290833,1881.350833,3021.850833
Bloomsburg University of Pennsylvania,Pennsylvania,"Bloomsburg, Pennsylvania",PA,Bloomsburg Pennsylvania,Bloomsburg-PA,Bloomsburg,Regional,yes,12711,6719,-76.4561,41.0027,17815,-76.448,41.0078,318.0666667,1325,900,1750,3.3,1661.78,138.4816667,1781.548333,2573.548333,2148.548333,2998.548333
Appalachian State University,North Carolina,"Boone, North Carolina",NC,Boone North Carolina,Boone-NC,Boone,Regional,yes,19092,18486,-81.6669,36.2111,28608,-81.681,36.2155,318.9333333,1593.5,1349,1749,3.29,1656.74,138.0616667,2050.495,2842.495,2597.995,2997.995
University of Colorado Boulder,Colorado,"Boulder, Colorado",CO,Boulder Colorado,Boulder-CO,Boulder,Flagship,yes,108250,30414,-105.252,40.0248,80309-0017,-105.27,40.0088,312.78,2314.68,1334.5,5884,2.99,1505.67,125.4725,2752.9325,3544.9325,2564.7525,7114.2525
Western Kentucky University,Kentucky,"Bowling Green, Kentucky",KY,Bowling Green Kentucky,Bowling-Green-KY,Bowling Green,Regional,yes,72294,12526,-86.4378,36.9716,42101-1000,-86.457,36.985,313.82,971.83,645,1897.5,3.09,1556.03,129.6691667,1415.319167,2207.319167,1880.489167,3132.989167
Bowling Green State University,Ohio,"Bowling Green, Ohio",OH,Bowling Green Ohio,Bowling-Green-OH,Bowling Green,Regional,yes,30808,2511,-83.6495,41.3776,43403,-83.641,41.3755,314.6866667,1007.15,628.5,1646,3.24,1631.56,135.9633333,1457.8,2249.8,1871.15,2888.65
Montana State University,Montana,"Bozeman, Montana",MT,Bozeman Montana,Bozeman-MT,Bozeman,Land grant,yes,53293,14329,-111.056,45.6833,59717,-111.05,45.6667,311.9133333,2018.15,1600,2432.5,3.31,1666.81,138.9008333,2468.964167,3260.964167,2842.814167,3675.314167
Bridgewater State University,Massachusetts,"Bridgewater, Massachusetts",MA,Bridgewater Massachusetts,Bridgewater-MA,Bridgewater,Regional,yes,28633,8142,41.9888,70.9663,2325,-70.975,41.9875,312,2537.76,1225,4004.5,3.19,1606.38,133.865,2983.625,3775.625,2462.865,5242.365
SUNY Brockport,New York,"Brockport, New York",NY,Brockport New York,Brockport-NY,Brockport,Regional,yes,7104,5668,-77.9404,43.2137,14420-2919,-77.947,43.2119,316.7666667,1489.76,650,2414,3.32,1671.85,139.3208333,1945.8475,2737.8475,1898.0875,3662.0875
South Dakota State University,South Dakota,"Brookings, South Dakota",SD,Brookings South Dakota,Brookings-SD,Brookings,Land grant,yes,23377,8651,-96.7859,44.3022,57007-1898,-96.782,44.3175,321.5333333,1128.62,943,1260,2.92,1470.42,122.535,1572.688333,2364.688333,2179.068333,2496.068333
University of Vermont,Vermont,"Burlington, Vermont",VT,Burlington Vermont,Burlington-VT,Burlington,Flagship,yes,44743,11081,-73.2316,44.4876,05405-0160,-73.197,44.4773,315.9,1968.55,1379,2550,3.39,1707.1,142.2583333,2426.708333,3218.708333,2629.158333,3800.158333
California University of Pennsylvania,Pennsylvania,"California, Pennsylvania",PA,California Pennsylvania,California-PA,California,Regional,yes,5362,4314,-79.9152,40.0692,15419-1394,-79.887,40.065,316.3333333,1021.77,712.5,1572.5,3.69,1858.17,154.8475,1492.950833,2284.950833,1975.680833,2835.680833
West Texas A&M University,Texas,"Canyon, Texas",TX,Canyon Texas,Canyon-TX,Canyon,Regional,yes,14836,7015,-101.919,34.9911,79016,-101.91,34.9828,315.0333333,648.81,500,803,2.69,1354.6,112.8833333,1076.726667,1868.726667,1719.916667,2022.916667
Southeast Missouri State University,Missouri,"Cape Girardeau, Missouri",MO,Cape Girardeau Missouri,Cape-Girardeau-MO,Cape Girardeau,Regional,yes,39540,7306,-89.5597,37.3109,63701,-89.531,37.3111,316.42,686.5,686.5,686.5,3.19,1606.38,133.865,1136.785,1928.785,1928.785,1928.785
Southern Illinois University-Carbondale,Illinois,"Carbondale, Illinois",IL,Carbondale Illinois,Carbondale-IL,Carbondale,Regional,yes,21857,7973,-89.2237,37.7221,62901-4512,-89.217,37.7142,316.8533333,651.47,387.5,1214,3.49,1757.45,146.4541667,1114.7775,1906.7775,1642.8075,2469.3075
University of West Georgia,Georgia,"Carrollton, Georgia",GA,Carrollton Georgia,Carrollton-GA,Carrollton,Regional,yes,26738,8572,-85.0838,33.5818,30118-0001,-85.098,33.5736,318.2833333,1145,787.5,1852.5,3.18,1601.35,133.4458333,1596.729167,2388.729167,2031.229167,3096.229167
Southern Utah University,Utah,"Cedar City, Utah",UT,Cedar City Utah,Cedar-City-UT,Cedar City,Regional,yes,35235,9297,-113.096,37.6834,84720,-113.07,37.6746,316.2466667,1042.5,990,1095,3.19,1606.38,133.865,1492.611667,2284.611667,2232.111667,2337.111667
University of Northern Iowa,Iowa,"Cedar Falls, Iowa",IA,Cedar Falls Iowa,Cedar-Falls-IA,Cedar Falls,Regional,yes,40713,7812,-92.4536,42.5195,50614-0005,-92.46,42.5149,316.16,1062.94,712.5,1562.5,3.29,1656.74,138.0616667,1517.161667,2309.161667,1958.721667,2808.721667
University of Illinois Urbana-Champaign,Illinois,"Champaign-Urbana, Illinois",IL,Champaign-Urbana Illinois,Champaign-Urbana-IL,Champaign-Urbana,Flagship,yes,126638,33889,40.102,88.2272,61820-5711,-88.229,40.1047,349.0066667,1689.52,445,23350,3.29,1656.74,138.0616667,2176.588333,2968.588333,1724.068333,24629.06833
University of North Carolina at Chapel Hill,North Carolina,"Chapel Hill, North Carolina",NC,Chapel Hill North Carolina,Chapel-Hill-NC,Chapel Hill,Flagship,yes,61960,19722,-79.0391,35.9271,27599,-79.051,35.9118,314.6,1711.71,1183.5,2471.5,3.19,1606.38,133.865,2160.175,2952.175,2423.965,3711.965
Eastern Illinois University,Illinois,"Charleston, Illinois",IL,Charleston Illinois,Charleston-IL,Charleston,Regional,yes,17286,4616,-88.1781,39.4842,61920,-88.176,39.4798,349.0066667,643.6,383,885,3.45,1737.31,144.7758333,1137.3825,1929.3825,1668.7825,2170.7825
University of Virginia,Virginia,"Charlottesville, Virginia",VA,Charlottesville Virginia,Charlottesville-VA,Charlottesville,Flagship,yes,46553,17041,-78.4855,38.0375,22903-2628,-78.503,38.0357,316.3333333,1756.19,1036,2762.5,3.23,1626.53,135.5441667,2208.0675,3000.0675,2279.8775,4006.3775
Eastern Washington University,Washington,"Cheney, Washington",WA,Cheney Washington,Cheney-WA,Cheney,Regional,yes,13255,7589,-117.579,47.4901,99004-2496,-117.58,47.4907,316.745,937.88,572,1175,3.69,1858.17,154.8475,1409.4725,2201.4725,1835.5925,2438.5925
California State University-Chico,California,"Chico, California",CA,Chico California,Chico-CA,Chico,Regional,yes,101475,14343,-121.816,39.7578,95929-0150,-121.84,39.7297,323.1366667,1251.4,588,1866,4.79,2412.09,201.0075,1775.544167,2567.544167,1904.144167,3182.144167
Clarion University of Pennsylvania,Pennsylvania,"Clarion, Pennsylvania",PA,Clarion Pennsylvania,Clarion-PA,Clarion,Regional,yes,3931,3071,-79.3803,41.2106,16214,-79.378,41.2078,316.3333333,557.5,557.5,557.5,3.49,1757.45,146.4541667,1020.2875,1812.2875,1812.2875,1812.2875
Clemson University,South Carolina,"Clemson, South Carolina",SC,Clemson South Carolina,Clemson-SC,Clemson,Land grant,yes,17681,21577,-82.8124,34.6837,29634,-82.835,34.6794,320.0166667,1125.88,655,1700,3.01,1515.74,126.3116667,1572.208333,2364.208333,1893.328333,2938.328333
Texas A&M University,Texas,"College Station, Texas",TX,College Station Texas,College-Station-TX,College Station,Land grant,yes,120511,56006,-96.2959,30.5852,77843,-96.336,30.6187,313.3,1238.1,749,1964,3.09,1556.03,129.6691667,1681.069167,2473.069167,1983.969167,3198.969167
University of Missouri-Columbia,Missouri,"Columbia, Missouri",MO,Columbia Missouri,Columbia-MO,Columbia,Flagship,yes,126254,23092,-92.3268,38.9472,65211,-92.329,38.9453,316.42,1183.35,550,2394.5,2.99,1505.67,125.4725,1625.2425,2417.2425,1783.8925,3628.3925
Texas A&M University–Commerce,Texas,"Commerce, Texas",TX,Commerce Texas,Commerce-TX,Commerce,Regional,yes,9090,7517,-95.8992,33.2421,75428,-95.905,33.2421,313.7333333,1055.06,712.5,1972.5,2.93,1475.46,122.955,1491.748333,2283.748333,1941.188333,3201.188333
University of Central Arkansas,Arkansas,"Conway, Arkansas",AR,Conway Arkansas,Conway-AR,Conway,Regional,yes,64134,7763,-92.4692,35.0753,72035-0001,-92.458,35.0779,318.1533333,873.57,605,2075.5,2.95,1485.53,123.7941667,1315.5175,2107.5175,1838.9475,3309.4475
Tennessee Technological University,Tennessee,"Cookeville, Tennessee",TN,Cookeville Tennessee,Cookeville-TN,Cookeville,Regional,yes,34842,8186,-85.5109,36.1482,38505-0001,-85.504,36.1748,318.5866667,945.25,640,1260,2.96,1490.56,124.2133333,1388.05,2180.05,1874.8,2494.8
SUNY Cortland,New York,"Cortland, New York",NY,Cortland New York,Cortland-NY,Cortland,Regional,yes,17556,5974,-76.1784,42.6004,13045-0900,-76.189,42.598,316.7666667,2018.27,885,9112.5,3.28,1651.7,137.6416667,2472.678333,3264.678333,2131.408333,10358.90833
Oregon State University,Oregon,"Corvallis, Oregon",OR,Corvallis Oregon,Corvallis-OR,Corvallis,Land grant,yes,59922,27038,-123.278,44.5698,97331,-123.27,44.564,324.9783333,1379.86,675,1704,3.65,1838.02,153.1683333,1858.006667,2650.006667,1945.146667,2974.146667
University of Minnesota-Crookston,Minnesota,"Crookston, Minnesota",MN,Crookston Minnesota,Crookston-MN,Crookston,Regional,yes,7482,1574,-96.6062,47.7747,56716-5001,-96.606,47.8025,321.5333333,720.7,580,850,2.99,1505.67,125.4725,1167.705833,1959.705833,1819.005833,2089.005833
Western Carolina University,North Carolina,"Cullowhee, North Carolina",NC,Cullowhee North Carolina,Cullowhee-NC,Cullowhee,Regional,yes,7682,9980,-83.1816,35.3097,28723-9646,-83.186,35.309,316.7666667,1207.21,595,1647.5,3.29,1656.74,138.0616667,1662.038333,2454.038333,1841.828333,2894.328333
University of North Georgia,Georgia,"Dahlonega, Georgia",GA,Dahlonega Georgia,Dahlonega-GA,Dahlonega,Regional,yes,7537,16515,-83.9804,34.5311,30597,-83.986,34.5302,320.45,1648.25,883.5,2593,3.29,1656.74,138.0616667,2106.761667,2898.761667,2134.011667,3843.511667
University of California-Davis,California,"Davis, California",CA,Davis California,Davis-CA,Davis,Land grant,yes,66850,31637,-121.737,38.5553,95616-8678,-121.75,38.5397,326.6033333,2022.99,1325,2522.5,4.49,2261.02,188.4183333,2538.011667,3330.011667,2632.021667,3829.521667
Northern Illinois University,Illinois,"DeKalb, Illinois",IL,DeKalb Illinois,DeKalb-IL,DeKalb,Regional,yes,40290,11819,-88.7481,41.9314,60115-2828,-88.766,41.9339,316.7666667,917.47,590,1450,3.51,1767.52,147.2933333,1381.53,2173.53,1846.06,2706.06
SUNY College of Technology at Delhi,New York,"Delhi, New York",NY,Delhi New York,Delhi-NY,Delhi,Regional,yes,4795,2486,42.2781,74.916,13753-1100,-74.925,42.2699,315.9,860.17,750,952.5,3.25,1636.6,136.3833333,1312.453333,2104.453333,1994.283333,2196.783333
University of North Texas,Texas,"Denton, Texas",TX,Denton Texas,Denton-TX,Denton,Regional,yes,139869,32590,-97.1418,33.2175,76203-1277,-97.148,33.2112,315.4666667,1478.78,1092.5,2053,3.05,1535.88,127.99,1922.236667,2714.236667,2327.956667,3288.456667
Wayne State University,Michigan,"Detroit, Michigan",MI,Detroit Michigan,Detroit-MI,Detroit,Regional,yes,639111,16530,-83.1024,42.3834,48202,-83.069,42.359,317.2,1656.6,940,3387.5,3.39,1707.1,142.2583333,2116.058333,2908.058333,2191.458333,4638.958333
Fort Lewis College,Colorado,"Durango, Colorado",CO,Durango Colorado,Durango-CO,Durango,Regional,yes,19071,3260,-107.878,37.2659,81301-3999,-107.87,37.2759,316.68,1750.25,1565,1962,3.23,1626.53,135.5441667,2202.474167,2994.474167,2809.224167,3206.224167
Southeastern Oklahoma State University,Oklahoma,"Durant, Oklahoma",OK,Durant Oklahoma,Durant-OK,Durant,Regional,yes,18589,2832,-96.3923,33.9949,74701-3347,-96.377,34.0068,315.9,870,645,1095,2.92,1470.42,122.535,1308.435,2100.435,1875.435,2325.435
University of New Hampshire,New Hampshire,"Durham, New Hampshire",NH,Durham New Hampshire,Durham-NH,Durham,Flagship,yes,15490,11429,43.1389,70.937,03824-3547,-70.932,43.1359,313.7333333,2174.96,1155,2985,3.11,1566.1,130.5083333,2619.201667,3411.201667,2391.241667,4221.241667
Michigan State University,Michigan,"East Lansing, Michigan",MI,East Lansing Michigan,East-Lansing-MI,East Lansing,Land grant,yes,47741,38424,-84.4836,42.748,48824-1046,-84.476,42.7321,313.7333333,1315.74,887.5,2805.5,3.54,1782.63,148.5525,1778.025833,2570.025833,2141.785833,4059.785833
East Stroudsburg University of Pennsylvania,Pennsylvania,"East Stroudsburg, Pennsylvania",PA,East Stroudsburg Pennsylvania,East-Stroudsburg-PA,East Stroudsburg,Regional,yes,9669,4275,-75.1779,41.0023,18301-2999,-75.174,40.996,320.2333333,1796.9,1410,2470,3.5,1762.49,146.8741667,2264.0075,3056.0075,2669.1075,3729.1075
Edinboro University of Pennsylvania,Pennsylvania,"Edinboro, Pennsylvania",PA,Edinboro Pennsylvania,Edinboro-PA,Edinboro,Regional,yes,4964,2779,-80.1247,41.8762,16444-0001,-80.121,41.8707,315.9866667,950.86,582.5,2093,3.69,1858.17,154.8475,1421.694167,2213.694167,1845.334167,3355.834167
